Phase,Flux,Flux_err
0.0,0.8694871493784124,0.005
0.0101010101010101,0.8702747068641636,0.005
0.0202020202020202,0.8725905335886205,0.005
0.0303030303030303,0.875589513657413,0.005
0.0404040404040404,0.8796440248787275,0.005
0.0505050505050505,0.885100277913745,0.005
0.0606060606060606,0.891571255013183,0.005
0.0707070707070707,0.898948758455395,0.005
0.0808080808080808,0.9065839097703406,0.005
0.0909090909090909,0.9147368593801972,0.005
0.101010101010101,0.9231796695368572,0.005
0.1111111111111111,0.9313970476921388,0.005
0.1212121212121212,0.9393340930561253,0.005
0.1313131313131313,0.9477859947558894,0.005
0.1414141414141414,0.956239010610465,0.005
0.1515151515151515,0.9641911257627016,0.005
0.1616161616161616,0.9715317543135802,0.005
0.1717171717171717,0.9779153884387553,0.005
0.1818181818181818,0.9839607370806658,0.005
0.1919191919191919,0.9889862699666452,0.005
0.202020202020202,0.9927794422384616,0.005
0.2121212121212121,0.9959032081731312,0.005
0.2222222222222222,0.9978097097732044,0.005
0.2323232323232323,0.9988417228530796,0.005
0.2424242424242424,0.9987920616363556,0.005
0.2525252525252525,0.9979948095557428,0.005
0.2626262626262626,0.9960010264361328,0.005
0.2727272727272727,0.9933782084434024,0.005
0.2828282828282828,0.990044957774172,0.005
0.292929292929293,0.9856625995891284,0.005
0.303030303030303,0.9807270430367556,0.005
0.3131313131313132,0.9747369259172534,0.005
0.3232323232323232,0.9686696272396896,0.005
0.3333333333333333,0.9620855622483592,0.005
0.3434343434343435,0.9550921671628017,0.005
0.3535353535353535,0.9475438944402544,0.005
0.3636363636363637,0.9397011018545736,0.005
0.3737373737373737,0.93206774649364,0.005
0.3838383838383838,0.924532321953819,0.005
0.393939393939394,0.9168853131875636,0.005
0.4040404040404041,0.9094602722034584,0.005
0.4141414141414142,0.9021160611268776,0.005
0.4242424242424242,0.8955420131997028,0.005
0.4343434343434343,0.8894922194123406,0.005
0.4444444444444445,0.8836762373899323,0.005
0.4545454545454546,0.878381928579182,0.005
0.4646464646464647,0.8739405171113425,0.005
0.4747474747474748,0.8704029557436541,0.005
0.4848484848484848,0.8675598211405723,0.005
0.494949494949495,0.866460582833296,0.005
0.5050505050505051,0.8662278939709513,0.005
0.5151515151515151,0.8670380604876694,0.005
0.5252525252525253,0.8696120243857232,0.005
0.5353535353535354,0.8733876792410437,0.005
0.5454545454545455,0.8783109546154,0.005
0.5555555555555556,0.8833973976839252,0.005
0.5656565656565656,0.8892133536875645,0.005
0.5757575757575758,0.8953202837948682,0.005
0.585858585858586,0.9023218972522068,0.005
0.595959595959596,0.9092818348268812,0.005
0.6060606060606061,0.916613259257712,0.005
0.6161616161616161,0.9238709234540184,0.005
0.6262626262626264,0.931416771833036,0.005
0.6363636363636365,0.9387920575846588,0.005
0.6464646464646465,0.9467770957560598,0.005
0.6565656565656566,0.9544324584621348,0.005
0.6666666666666666,0.962069354176702,0.005
0.6767676767676769,0.9693013695373204,0.005
0.686868686868687,0.9754467382570686,0.005
0.696969696969697,0.9810408899470908,0.005
0.7070707070707071,0.9866298208153084,0.005
0.7171717171717172,0.9910512950598304,0.005
0.7272727272727274,0.994571472977292,0.005
0.7373737373737375,0.9974391947948776,0.005
0.7474747474747475,0.9992994056327296,0.005
0.7575757575757576,1.0,0.005
0.7676767676767677,0.9996298178678312,0.005
0.7777777777777779,0.9981212445158832,0.005
0.787878787878788,0.9958842031987912,0.005
0.797979797979798,0.9925625181037936,0.005
0.8080808080808082,0.9883676561641468,0.005
0.8181818181818182,0.9833185549091712,0.005
0.8282828282828284,0.9771722485714812,0.005
0.8383838383838385,0.9705536742242192,0.005
0.8484848484848485,0.963220160159785,0.005
0.8585858585858587,0.9558363167638768,0.005
0.8686868686868687,0.947657812291136,0.005
0.8787878787878789,0.9395621450084668,0.005
0.888888888888889,0.9311644034899408,0.005
0.898989898989899,0.92293878752379,0.005
0.9090909090909092,0.9151675020564328,0.005
0.9191919191919192,0.9074819378081952,0.005
0.9292929292929294,0.8996642910855113,0.005
0.9393939393939394,0.8920531013123952,0.005
0.9494949494949496,0.8861938286503668,0.005
0.9595959595959596,0.8805657983760413,0.005
0.9696969696969696,0.876018566270929,0.005
0.97979797979798,0.8724577037954137,0.005
0.98989898989899,0.8701862482203251,0.005
1.0,0.8694871493784122,0.005
