Phase,Flux,Flux_err
0.0,0.8633877361806572,0.005
0.01010101010101,0.8642167531069282,0.005
0.0202020202020201,0.8665559816040247,0.005
0.0303030303030302,0.8696808255657107,0.005
0.0404040404040403,0.8740312583849545,0.005
0.0505050505050504,0.8797959674619249,0.005
0.0606060606060605,0.8866513496036258,0.005
0.0707070707070706,0.8943651801464413,0.005
0.0808080808080807,0.9023649487757108,0.005
0.0909090909090908,0.9109671295936596,0.005
0.101010101010101,0.9199275041479952,0.005
0.1111111111111111,0.928710779174165,0.005
0.1212121212121212,0.9372229930153708,0.005
0.1313131313131313,0.9461131591053888,0.005
0.1414141414141413,0.955003787278632,0.005
0.1515151515151515,0.9634133587813348,0.005
0.1616161616161615,0.9711878745669325,0.005
0.1717171717171716,0.9779530866036787,0.005
0.1818181818181817,0.984210446087821,0.005
0.1919191919191919,0.9893750486629382,0.005
0.202020202020202,0.9932884209809788,0.005
0.2121212121212121,0.9964408168242864,0.005
0.2222222222222222,0.998313145341014,0.005
0.2323232323232323,0.999220532066944,0.005
0.2424242424242424,0.9989834024141716,0.005
0.2525252525252525,0.997885968268798,0.005
0.2626262626262626,0.995516800382197,0.005
0.2727272727272727,0.9924538757366356,0.005
0.2828282828282827,0.988600989230958,0.005
0.292929292929293,0.9837160003232528,0.005
0.303030303030303,0.9782225588676756,0.005
0.3131313131313132,0.9717235429797512,0.005
0.3232323232323232,0.96504148974486,0.005
0.3333333333333333,0.957862908519278,0.005
0.3434343434343434,0.9502931489386012,0.005
0.3535353535353535,0.9422707606120224,0.005
0.3636363636363636,0.9339676310957864,0.005
0.3737373737373737,0.9258320549933404,0.005
0.3838383838383838,0.917836394053521,0.005
0.3939393939393939,0.909832779440068,0.005
0.4040404040404041,0.9020974162460336,0.005
0.4141414141414142,0.8944851540378373,0.005
0.4242424242424242,0.8875671017209082,0.005
0.4343434343434343,0.8811683950495109,0.005
0.4444444444444445,0.8750451171618052,0.005
0.4545454545454545,0.869502151545211,0.005
0.4646464646464646,0.8648009097312847,0.005
0.4747474747474748,0.8610466496131569,0.005
0.4848484848484848,0.8581121947448302,0.005
0.4949494949494949,0.8569607992641268,0.005
0.5050505050505051,0.8568200327080528,0.005
0.5151515151515151,0.8577532522557819,0.005
0.5252525252525253,0.8603962971398007,0.005
0.5353535353535354,0.8643036242692312,0.005
0.5454545454545455,0.869441786219346,0.005
0.5555555555555556,0.8748271458878456,0.005
0.5656565656565656,0.8809009786550379,0.005
0.5757575757575758,0.8872946636205822,0.005
0.585858585858586,0.8945153783721257,0.005
0.595959595959596,0.9018446696466732,0.005
0.6060606060606061,0.9096598955327192,0.005
0.6161616161616161,0.9174221079820556,0.005
0.6262626262626264,0.9254463151882952,0.005
0.6363636363636365,0.9333646004140173,0.005
0.6464646464646465,0.9418012464547952,0.005
0.6565656565656566,0.9499682807575108,0.005
0.6666666666666666,0.9580664204740706,0.005
0.6767676767676769,0.9657403386025412,0.005
0.686868686868687,0.9724404911821228,0.005
0.696969696969697,0.978577861386533,0.005
0.7070707070707071,0.9846299072457496,0.005
0.7171717171717172,0.9895859139145998,0.005
0.7272727272727274,0.9935918101373,0.005
0.7373737373737375,0.9968358070028546,0.005
0.7474747474747475,0.9990145083776713,0.005
0.7575757575757576,1.0,0.005
0.7676767676767677,0.9998704812727268,0.005
0.7777777777777779,0.9985527530716188,0.005
0.787878787878788,0.9963744301830756,0.005
0.797979797979798,0.9930797560263616,0.005
0.8080808080808082,0.988781799672409,0.005
0.8181818181818182,0.9835466579439786,0.005
0.8282828282828284,0.9771635636661562,0.005
0.8383838383838385,0.9702691510105648,0.005
0.8484848484848485,0.9625647957668,0.005
0.8585858585858587,0.954697394847307,0.005
0.8686868686868687,0.9460543854897098,0.005
0.8787878787878789,0.9374629720904726,0.005
0.888888888888889,0.928626751646688,0.005
0.898989898989899,0.9199215304356227,0.005
0.9090909090909092,0.9115747657438444,0.005
0.9191919191919192,0.9033504954182024,0.005
0.9292929292929294,0.8950981647268178,0.005
0.9393939393939394,0.8871186214801262,0.005
0.9494949494949496,0.8808889475468807,0.005
0.9595959595959596,0.8749409767390252,0.005
0.9696969696969696,0.8701255220346845,0.005
0.97979797979798,0.866425573420763,0.005
0.98989898989899,0.8640829117423381,0.005
1.0,0.8633877361806571,0.005
