Phase,Flux,Flux_err
0.0,-8.595600444407866,2.0
0.01010101010101,4.396994865745028,2.0
0.0202020202020201,17.393480750140974,2.0
0.0303030303030302,30.39090426908399,2.0
0.0404040404040403,43.02429008126919,2.0
0.0505050505050504,55.54064207911607,2.0
0.0606060606060605,67.87651255074627,2.0
0.0707070707070706,80.00992704168831,2.0
0.0808080808080807,91.78698015289348,2.0
0.0909090909090908,103.01374421171512,2.0
0.101010101010101,113.88951880184,2.0
0.1111111111111111,124.38190839295147,2.0
0.1212121212121212,134.41622750054205,2.0
0.1313131313131313,143.86637884549717,2.0
0.1414141414141413,152.77429536496854,2.0
0.1515151515151515,161.0994256492792,2.0
0.1616161616161615,168.77038489050238,2.0
0.1717171717171716,175.75493476618524,2.0
0.1818181818181817,182.05457007118727,2.0
0.1919191919191919,187.63933743785145,2.0
0.202020202020202,192.5189173814736,2.0
0.2121212121212121,196.65923307782808,2.0
0.2222222222222222,199.9975127377966,2.0
0.2323232323232323,202.5785877920997,2.0
0.2424242424242424,204.3341600066544,2.0
0.2525252525252525,205.2694901479776,2.0
0.2626262626262626,205.4135185874557,2.0
0.2727272727272727,204.6094261445461,2.0
0.2828282828282827,202.94894771656544,2.0
0.292929292929293,200.4544188460696,2.0
0.303030303030303,197.11213578551843,2.0
0.3131313131313132,192.9853208399929,2.0
0.3232323232323232,187.9885022971272,2.0
0.3333333333333333,182.20087185449864,2.0
0.3434343434343434,175.6712963478361,2.0
0.3535353535353535,168.31909943680895,2.0
0.3636363636363636,160.1910289258723,2.0
0.3737373737373737,151.3491318892378,2.0
0.3838383838383838,141.80846040343894,2.0
0.3939393939393939,131.6687910217082,2.0
0.4040404040404041,120.9148672796992,2.0
0.4141414141414142,109.49048655906924,2.0
0.4242424242424242,97.45242316366918,2.0
0.4343434343434343,84.80111367758752,2.0
0.4444444444444445,71.60867861672469,2.0
0.4545454545454545,58.00246237605442,2.0
0.4646464646464646,43.82962473205999,2.0
0.4747474747474748,29.132998397772383,2.0
0.4848484848484848,14.106791992539325,2.0
0.4949494949494949,-1.0613883326315436,2.0
0.5050505050505051,-16.29865973261767,2.0
0.5151515151515151,-31.5000145362998,2.0
0.5252525252525253,-46.59595339962685,2.0
0.5353535353535354,-61.32754908693561,2.0
0.5454545454545455,-75.62446825276618,2.0
0.5555555555555556,-89.31305983967125,2.0
0.5656565656565656,-102.35924448482356,2.0
0.5757575757575758,-114.83191171224618,2.0
0.585858585858586,-126.85034770049874,2.0
0.595959595959596,-138.35468321324882,2.0
0.6060606060606061,-149.19385376737037,2.0
0.6161616161616161,-159.37592114157962,2.0
0.6262626262626264,-168.85915118404063,2.0
0.6363636363636365,-177.63024048399717,2.0
0.6464646464646465,-185.7095330278913,2.0
0.6565656565656566,-193.0517583676224,2.0
0.6666666666666666,-199.5811633622399,2.0
0.6767676767676769,-205.3436456240821,2.0
0.686868686868687,-210.3004454530694,2.0
0.696969696969697,-214.38093813630329,2.0
0.7070707070707071,-217.69368040772656,2.0
0.7171717171717172,-220.18693048247653,2.0
0.7272727272727274,-221.86011431640856,2.0
0.7373737373737375,-222.68261800509816,2.0
0.7474747474747475,-222.65001195962623,2.0
0.7575757575757576,-221.82840276584724,2.0
0.7676767676767677,-220.173312726069,2.0
0.7777777777777779,-217.6763242514227,2.0
0.787878787878788,-214.37212430633863,2.0
0.797979797979798,-210.2901051881148,2.0
0.8080808080808082,-205.4529729151073,2.0
0.8181818181818182,-199.8750496348483,2.0
0.8282828282828284,-193.4779948122581,2.0
0.8383838383838385,-186.5294009527963,2.0
0.8484848484848485,-178.88477935688587,2.0
0.8585858585858587,-170.55273311045497,2.0
0.8686868686868687,-161.57308376407997,2.0
0.8787878787878789,-152.13037506365475,2.0
0.888888888888889,-142.12426112730714,2.0
0.898989898989899,-131.5477567052173,2.0
0.9090909090909092,-120.57308027251048,2.0
0.9191919191919192,-109.19944858851854,2.0
0.9292929292929294,-97.47402375745472,2.0
0.9393939393939394,-85.33932495040989,2.0
0.9494949494949496,-73.17877477744145,2.0
0.9595959595959596,-60.68200114783542,2.0
0.9696969696969696,-47.9270211547383,2.0
0.97979797979798,-34.85900204361061,2.0
0.98989898989899,-21.694111218201485,2.0
1.0,-8.59560044440804,1.0
1.0,-8.617126813366841,1.0
1.0101010101010102,-11.24182403878701,1.0
1.02020202020202,-13.814212731802776,1.0
1.0303030303030305,-16.25322469132319,1.0
1.0404040404040402,-18.538641633686577,1.0
1.0505050505050506,-20.66990512712892,1.0
1.0606060606060608,-22.672855302283345,1.0
1.0707070707070707,-24.447571375792453,1.0
1.0808080808080809,-25.940598794203325,1.0
1.0909090909090908,-27.29962804803819,1.0
1.101010101010101,-28.43365276465769,1.0
1.1111111111111112,-29.37352477880808,1.0
1.121212121212121,-30.131963112373587,1.0
1.1313131313131313,-30.684307894808864,1.0
1.1414141414141412,-31.12544158194804,1.0
1.1515151515151514,-31.370310862448346,1.0
1.1616161616161618,-31.568538472870163,1.0
1.1717171717171715,-31.66539228544468,1.0
1.181818181818182,-31.659600719621324,1.0
1.191919191919192,-31.61570216715624,1.0
1.2020202020202018,-31.46666528804309,1.0
1.212121212121212,-31.31697958262582,1.0
1.222222222222222,-31.16606728148503,1.0
1.2323232323232325,-30.989314555995406,1.0
1.2424242424242429,-30.75297247627748,1.0
1.2525252525252526,-30.49222744205929,1.0
1.2626262626262628,-30.21514113854129,1.0
1.272727272727273,-29.947078424145385,1.0
1.282828282828283,-29.654398322659773,1.0
1.2929292929292933,-29.30778251924275,1.0
1.303030303030303,-28.947574915383587,1.0
1.3131313131313131,-28.540227103696616,1.0
1.323232323232323,-28.118429118969544,1.0
1.3333333333333333,-27.594432965826307,1.0
1.3434343434343434,-27.02809791913437,1.0
1.3535353535353534,-26.392496172667244,1.0
1.3636363636363638,-25.71863199962452,1.0
1.373737373737374,-24.954705277422324,1.0
1.3838383838383836,-24.050081250441043,1.0
1.3939393939393938,-23.02003523224168,1.0
1.404040404040404,-21.941873294918214,1.0
1.414141414141414,-20.747132841511284,1.0
1.4242424242424243,-19.517335220208533,1.0
1.4343434343434345,-18.19638464750605,1.0
1.4444444444444446,-16.811987186299962,1.0
1.4545454545454546,-15.40414309660373,1.0
1.4646464646464648,-13.91392187063816,1.0
1.474747474747475,-12.43515802791554,1.0
1.4848484848484849,-10.910060502134431,1.0
1.494949494949495,-9.405049256902544,1.0
1.505050505050505,-7.907121498622988,1.0
1.5151515151515151,-6.395629517362928,1.0
1.5252525252525255,-4.877105479203988,1.0
1.5353535353535357,-3.409424311864914,1.0
1.5454545454545454,-1.9121421686513955,1.0
1.5555555555555554,-0.4771148433070216,1.0
1.5656565656565655,0.872902520364296,1.0
1.575757575757576,2.192900612399767,1.0
1.585858585858586,3.477356161812577,1.0
1.5959595959595962,4.677301899407476,1.0
1.606060606060606,5.782559859880488,1.0
1.616161616161616,6.729409955171775,1.0
1.6262626262626263,7.539401313532913,1.0
1.636363636363637,8.317232424676913,1.0
1.6464646464646466,9.062794140830643,1.0
1.6565656565656566,9.761375749055397,1.0
1.6666666666666663,10.33743798243295,1.0
1.676767676767677,10.788231578414976,1.0
1.686868686868687,11.165990172708046,1.0
1.696969696969697,11.615298877528131,1.0
1.707070707070707,11.9760017206321,1.0
1.7171717171717171,12.277447944799388,1.0
1.7272727272727275,12.538142381981396,1.0
1.7373737373737377,12.838878732807842,1.0
1.7474747474747474,13.114650703925731,1.0
1.7575757575757571,13.363272346062876,1.0
1.7676767676767675,13.605424727565929,1.0
1.777777777777778,13.821289565930718,1.0
1.787878787878788,14.022820525817997,1.0
1.797979797979798,14.21779386619088,1.0
1.808080808080808,14.336150399156518,1.0
1.818181818181818,14.423884212866655,1.0
1.8282828282828285,14.41516889185842,1.0
1.838383838383839,14.31119805329943,1.0
1.8484848484848488,14.149802689199609,1.0
1.8585858585858583,13.852006656963049,1.0
1.8686868686868685,13.401858243896768,1.0
1.8787878787878785,12.891266112698307,1.0
1.8888888888888888,12.110398101925709,1.0
1.898989898989899,11.120811864891582,1.0
1.9090909090909087,9.99845208949124,1.0
